occupation,occupation_label,workers,mean_income,mean_income_low,mean_income_upp,mean_hourly_income,mean_hours,sample_n,p10,p25,p50,p75,p90,hourly_p50,gini_within,top10_income_share,share_Homem,share_Mulher,share_brancaamarela,share_pretapardaindigena,share_outra,mean_Homem,mean_Mulher,gender_gap_women_vs_men,mean_median_ratio,p90_p50_ratio,p50_p10_ratio,ci_relative_width,wage_anatomy_type
7322,7322 - Impressores,72959.40354735,2441.667716198564,2140.3519515546977,2742.9834808424303,14.080719024585855,39.62508654847846,147,800,1621,2000,3000,4000,11.80978374973756,0.30434371367411117,0.22929094283550377,0.8233764668417708,0.17662353315822923,0.33463968297581836,0.6653603170241817,NA,2578.464124209369,1803.9557358608292,-0.3003758637076349,1.220833858099282,2,2.5,0.246811441741127,renda_baixa_comprimida
4322,4322 - Trabalhadores de serviços de apoio à produção,74731.15106345,2432.3720412527578,2136.261480078437,2728.4826024270783,13.379499864209546,41.97548447280687,125,1600,1700,2100,2800,3200,11.547344110854505,0.22985386748476944,0.2149321909254345,0.6115313536953062,0.3884686463046938,0.48490556104391785,0.5150944389560821,NA,2350.4660063966126,2561.3093669490686,0.08970279084175736,1.1582724005965512,1.5238095238095237,1.3125,0.24347472849738325,meio_heterogeneo
3213,3213 - Técnicos e assistentes farmacêuticos,70458.86675336,2396.558854382092,2197.064828718606,2596.0528800455777,13.6302111470585,41.092064800930125,128,1620,1621,2000,3000,3500,12.478829869130099,0.20657260594362725,0.1980835717861044,0.3542369669235386,0.6457630330764614,0.47167600027323986,0.5283239997267603,NA,2614.83985426776,2276.8195763869376,-0.1292699731989817,1.198279427191046,1.75,1.2345679012345678,0.1664837275318421,renda_baixa_comprimida
7115,7115 - Carpinteiros,190303.44590633,2392.1036824701764,2182.3558597000856,2601.851505240267,13.347151666841341,40.769907919968816,498,700,1600,2000,3000,4500,11.547344110854505,0.3386482888897382,0.2497289254405209,0.9825277575900195,0.017472242409980455,0.2540815874130825,0.7459184125869175,NA,2393.3121791549866,2324.1455171746084,-0.028899974931310024,1.1960518412350882,2.25,2.857142857142857,0.17536683238871761,meio_heterogeneo
8172,8172 - Operadores de instalações para processamento de madeira,83660.8266906,2374.431905009427,2187.7670210875367,2561.096788931317,13.310947923921566,41.12410681611106,240,1500,1621,2100,2800,3300,12.509622786759046,0.2259471402642752,0.20195533854950354,0.8838085682650539,0.11619143173494602,0.42722026747419023,0.5727797325258098,NA,2372.9994667067594,2385.327727760767,0.005195222850646886,1.1306818595282986,1.5714285714285714,1.4,0.1572290900640918,meio_heterogeneo
8219,8219 - Montadores não classificados anteriormente,197637.56147787,2367.9541286652093,2185.213928839465,2550.6943284909535,13.623501757144163,40.46927573017052,343,1518,1621,2100,2500,3500,11.98724293412515,0.251695504086354,0.22758931615005037,0.9306882069181274,0.06931179308187259,0.4418834047846663,0.5581165952153337,NA,2383.9585611853067,2153.0536630651195,-0.09685776501307186,1.12759720412629,1.6666666666666667,1.383399209486166,0.15434437484543073,meio_heterogeneo
6210,6210 - Trabalhadores florestais qualificados e afins,75217.37952729,2347.141843330589,1927.1192384647763,2767.1644481964013,13.708015958655668,39.77546490773821,221,500,1000,1621,2500,4760,10.264305876315115,0.45010374397839725,0.3418263060094638,0.920271958040572,0.07972804195942805,0.3283850359757398,0.6716149640242602,NA,2340.4957995487152,2423.8547234422167,0.03561592544176939,1.4479591877424978,2.936458975940777,3.242,0.3579013395030284,teto_alto_base_distante
8183,"8183 - Operadores de máquinas de embalagem, engarrafamento e etiquetagem",145445.01639337,2331.407553244954,2219.416070050741,2443.3990364391675,12.724774502476766,42.78273618443918,269,1621,1800,2200,2604,3500,11.778290993071595,0.1720239509011935,0.16750521477926056,0.6047622926931002,0.39523770730689967,0.39779915985074216,0.6022008401492579,NA,2359.6119918504614,2288.2512940119664,-0.030242556015547484,1.0597307060204337,1.5909090909090908,1.3571869216533003,0.09607199139278645,meio_heterogeneo
4321,4321 - Trabalhadores de controle de abastecimento e estoques,1077251.09280834,2316.0333095140445,2250.8510985075995,2381.2155205204895,12.839914203576777,42.256895352871766,2048,1621,1700,2000,2600,3400,11.337392399748058,0.2091570948623187,0.19801306576308864,0.7680897368914641,0.23191026310853594,0.39423634327099205,0.605763656729008,NA,2379.789983927161,2104.8703940887513,-0.11552262665831281,1.1580166547570223,1.7,1.2338062924120914,0.05628780099032483,renda_baixa_comprimida
4224,4224 - Recepcionistas de hotéis,73067.87540326,2300.5449307082513,2105.9856754630064,2495.104185953496,12.398389531144101,43.873300101586544,159,1621,1621,2000,2500,3500,10.39902489094175,0.18986986401833295,0.16535758021306537,0.46298345794847995,0.53701654205152,0.4238723946403152,0.5761276053596848,NA,2402.1025771267464,2212.9880183265227,-0.07872876062871192,1.1502724653541256,1.75,1.2338062924120914,0.16914188690533197,renda_baixa_comprimida
7511,7511 - Magarefes e afins,580708.65000319,2271.396318826522,2173.5412367153544,2369.2514009376896,12.415405941584549,43.76146974753992,1279,1600,1621,2000,2500,3200,10.58506543494996,0.21993502402395826,0.20293278212477084,0.7558006814588332,0.24419931854116692,0.3258641981913658,0.6741358018086342,NA,2353.513663344471,2017.2418628803534,-0.14288075132151856,1.135698159413261,1.6,1.25,0.08616293096901974,renda_baixa_comprimida
7544,7544 - Fumigadores e outros controladores de pragas e ervas daninhas,50509.2854497,2271.0657546810926,1847.9885853508433,2694.142924011342,13.392285818570093,40.35573542439941,131,759,1621,1870,2400,3600,9.62278675904542,0.35325012925150223,0.2662607745516304,0.9436805782209517,0.056319421779048265,0.2870348536438484,0.7129651463561516,NA,2333.204620556114,1229.8753619780632,-0.47288148191437873,1.2144736656048623,1.9251336898395721,2.463768115942029,0.37258029051621067,renda_baixa_comprimida
9329,9329 - Trabalhadores elementares da indústria de transformação não classificados anteriormente,688430.03817398,2258.7631666272023,2167.5066718978737,2350.019661356531,12.327413175812799,42.41035888567235,1266,1618,1700,2000,2500,3000,10.969976905311778,0.19894890524639253,0.2026104589256342,0.6426969530758964,0.3573030469241036,0.41435861027454163,0.5856413897254583,NA,2312.329346358628,2162.411286066229,-0.06483421599457029,1.1293815833136012,1.5,1.2360939431396787,0.08080218066030646,renda_baixa_comprimida
5329,5329 - Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente,55438.43006829,2251.8314985948437,2047.7386693970195,2455.924327792668,13.285818339204688,39.402552873008304,126,1600,1621,1800,2600,4000,11.547344110854505,0.22421945726663728,0.1981215320276304,0.23529175730935972,0.7647082426906403,0.5399972225584958,0.4600027774415042,NA,2857.5275435621625,2065.465929532522,-0.27718424475526326,1.2510174992193577,2.2222222222222223,1.125,0.18126829589618884,meio_heterogeneo
3344,3344 - Secretários de medicina,83731.31629063,2237.6505861074747,1903.9076942109994,2571.39347800395,12.532597227636662,40.56701794039554,158,1518,1621,2000,2500,3500,10.681293302540416,0.25760293264588086,0.22766773433271376,0.03995473339709549,0.9600452666029046,0.5591027747577497,0.4408972252422504,NA,2578.6516504841006,2223.458956723681,-0.13774357373697144,1.1188252930537375,1.75,1.3175230566534915,0.2982975929919789,renda_baixa_comprimida
3251,3251 - Dentistas auxiliares e ajudantes de odontologia,106149.60785451,2231.018616363757,2034.812020363753,2427.2252123637604,13.569996472549121,38.533571925890854,262,1600,1621,2000,2500,3500,11.547344110854505,0.2428736001927252,0.2186374862890339,0.11563242182376557,0.8843675781762345,0.4742224513206363,0.5257775486793637,NA,2437.071862957552,2204.076837270695,-0.09560449538984961,1.1155093081818783,1.75,1.25,0.17588969859856446,renda_baixa_comprimida
4229,4229 - Trabalhadores de serviços de informação ao cliente não classificados anteriormente,128713.05916909,2216.678696633233,2065.807026550479,2367.550366715987,12.96392171258005,40.54280436854435,278,1621,1621,2000,2500,3200,10.84167308185784,0.19433416524246283,0.18305778021716937,0.17781228819791875,0.8221877118020812,0.4033553594297424,0.5966446405702576,NA,2531.6348042970453,2148.564000461401,-0.15131361094635087,1.1083393483166164,1.6,1.2338062924120914,0.13612407635973858,renda_baixa_comprimida
