occupation,occupation_label,workers,avg_income,avg_income_low,avg_income_upp,avg_hours,sample_n,median_income,rank
7122,"7122 - Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras",101004.05816492,3324.715610833256,2820.3235363794997,3829.1076852870124,41.595973761288406,191,2900,128
8343,"8343 - Operadores de guindastes, gruas, aparatos de elevação e afins",75016.47065208,3282.53412706822,2995.877541982012,3569.190712154428,43.52957678765988,161,2800,129
5222,5222 - Supervisores de lojas,379527.23689918,3231.368523612443,3051.9391384000837,3410.797908824802,44.57308979885622,708,2700,130
7543,7543 - Classificadores e provadores de produtos (exceto de bebidas e alimentos),222668.02741122,3231.196294445937,2911.068622033633,3551.323966858241,43.06906358685281,385,2600,131
5411,5411 - Bombeiros,42752.39710693,3217.321817881469,2640.715212898676,3793.9284228642623,42.56704953204601,93,3000,132
8342,8342 - Operadores de máquinas de movimentação de terras e afins,301506.08649539,3192.5511990358887,3009.0612014982717,3376.0411965735057,42.670976128212864,717,3000,133
7522,7522 - Marceneiros e afins,389101.93001614,3191.4302323776424,2741.9123915864943,3640.9480731687904,42.194670376374354,817,2500,134
7126,7126 - Bombeiros e encanadores,184076.28389764,3177.671972581014,2366.6115035180624,3988.7324416439656,41.325072882708746,398,2500,135
7223,7223 - Reguladores e operadores de máquinas-ferramentas,291591.12369788,3168.9658289558547,3015.4796624724604,3322.451995439249,42.89130773112364,465,3000,136
3221,3221 - Profissionais de nível médio de enfermagem,1162559.42251963,3157.489319173764,3068.7066264838345,3246.272011863694,41.788961501769684,2531,3000,137
7113,"7113 - Canteiros, cortadores e gravadores de pedras",79386.02398219,3140.1258831051296,2668.3675911504615,3611.8841750597976,42.56702467246462,156,2500,138
4311,4311 - Trabalhadores de contabilidade e cálculo de custos,285829.29666556,3129.4263159155544,2867.857916689157,3390.994715141952,41.00527023948571,538,2600,139
8331,8331 - Condutores de ônibus e bondes,456416.15406406,3115.8190209413574,2979.4370471346824,3252.2009947480324,43.738696326124355,985,3000,140
7213,7213 - Chapistas e caldeireiros,433290.30076183,3083.610668473812,2824.9433103828856,3342.2780265647384,42.2760411906878,882,2500,141
4323,4323 - Trabalhadores de serviços de transporte,145369.33433151,3071.3534277172143,2678.8877198981763,3463.8191355362524,43.55724708721089,202,2270,142
8121,8121 - Operadores de instalações de processamento de metais,95834.54596226,3031.1533976759606,2821.8282707631497,3240.4785245887715,42.58380188985559,157,3000,143
6121,6121 - Criadores de gado e trabalhadores qualificados da criação de gado,1313714.50379733,2987.708331154821,2794.5698841542835,3180.846778155358,42.96770524622325,6301,2000,144
5249,5249 - Vendedores não classificados anteriormente,562617.29141028,2980.385631213017,2489.761852967112,3471.0094094589217,35.01245374418109,1367,2000,145
8322,"8322 - Condutores de automóveis, taxis e caminhonetes",2149570.79427698,2973.1731889931916,2889.994556680806,3056.3518213055772,44.24334839996824,4384,2500,146
7231,7231 - Mecânicos e reparadores de veículos a motor,1377066.45814616,2959.682958323767,2826.6495560010294,3092.716360646504,43.156089925213244,2839,2200,147
4110,4110 - Escriturários gerais,3836980.85043544,2956.106292039745,2872.8298684926726,3039.382715586817,38.922963940368824,8272,2200,148
8122,"8122 - Operadores de máquinas polidoras, galvanizadoras e recobridoras de metais",58184.979475989996,2938.88448345477,2689.8125404691,3187.95642644044,43.17901794060026,95,2800,149
3412,3412 - Trabalhadores e assistentes sociais de nível médio,105194.85345801,2929.1859060818133,2611.1829270983653,3247.1888850652613,40.26048889403214,268,2200,150
8341,8341 - Operadores de máquinas agrícolas e florestais móveis,363152.78610075,2927.672612790565,2823.265399809074,3032.0798257720558,45.03164136471233,1198,2800,151
7515,7515 - Trabalhadores da degustação e classificação de alimentos e bebidas,46587.21641988,2920.080386715939,2381.650633311139,3458.510140120739,40.400673586355,91,2300,152
7412,7412 - Mecânicos e ajustadores eletricistas,328525.50971813,2909.7751599332455,2711.365242391535,3108.185077474956,40.097890864119115,657,2500,153
5164,5164 - Cuidadores de animais,156432.78866086,2909.6118247218606,2354.2340722143094,3464.9895772294117,39.09807097562999,315,2000,154
7132,7132 - Lustradores,180464.99968387,2908.138150806907,2679.385800063546,3136.8905015502683,43.31539933596169,355,2700,155
8182,8182 - Operadores de máquinas de vapor e caldeiras,45750.67867744,2903.3490536377667,2568.5758015449974,3238.122305730536,42.843822986201005,92,2500,156
8211,8211 - Mecânicos montadores de maquinaria mecânica,106103.21882309,2902.3217274892936,2574.4196166843208,3230.2238382942664,42.27597370742308,148,2500,157
7411,7411 - Eletricistas de obras e afins,438689.38447121,2879.058847837003,2699.3454613480785,3058.772234325928,39.59458540371147,899,2500,158
7212,7212 - Soldadores e oxicortadores,310358.09134406,2866.5210633771485,2722.6169717910307,3010.4251549632663,42.21254067855892,604,2804,159
7422,7422 - Instaladores e reparadores em tecnologias da informação e comunicações,280934.8098538,2821.0614482848073,2560.7624904187333,3081.3604061508813,41.170674466429325,589,2200,160
7523,7523 - Operadores de máquinas de lavrar madeira,75940.02815782,2714.675525027367,2424.0121930108253,3005.3388570439083,41.88020892039631,136,2300,161
4120,4120 - Secretários (geral),474683.04149711,2702.0101142244625,2543.78350639983,2860.236722049095,38.852671906250215,1008,2000,162
8344,8344 - Operadores de empilhadeiras,322122.29709772,2701.9588810871087,2585.1664576845915,2818.751304489626,43.33046949971125,575,2500,163
2359,2359 - Profissionais de ensino não classificados anteriormente,206827.24636012,2699.9577095784516,1931.0698394404944,3468.845579716409,28.05771661539991,467,1500,164
5243,5243 - Vendedores a domicilio,1081210.0521607,2688.4983810083345,2497.3916897994422,2879.6050722172267,34.351432057544564,2499,2000,165
7121,7121 - Telhadores,49110.18077893,2685.3488122919603,2185.0000631244725,3185.697561459448,38.12808751996488,80,2000,166
6122,6122 - Avicultores e trabalhadores qualificados da avicultura,140300.48915724,2677.0252419558647,1884.6771896480773,3469.373294263652,40.630610214194284,578,1621,167
4416,4416 - Trabalhadores do serviço de pessoal,63684.39506962,2652.984748526705,2428.0727902126687,2877.8967068407414,41.18238576382491,110,2500,168
7112,7112 - Pedreiros,2695851.92784956,2649.4257110784047,2577.357399134177,2721.4940230226325,40.28351940613217,6064,2200,169
7127,7127 - Mecânicos-instaladores de sistemas de refrigeração e climatização,84887.82596832,2646.8104057951837,2309.3687930041706,2984.2520185861968,38.885166204542124,192,2000,170
8131,8131 - Operadores de instalações e máquinas de produtos químicos,57468.88058802,2634.9813699339115,2346.41467619988,2923.548063667943,42.29311155878668,89,2400,171
8154,"8154 - Operadores de máquinas de branqueamento, tingimento e limpeza de tecidos",52877.90660915,2630.763128474745,2315.980017355564,2945.5462395939257,42.72327883725057,96,2500,172
7534,"7534 - Tapeceiros, colchoeiros e afins",93304.34546803,2629.880933819469,2278.5697618195227,2981.1921058194157,41.766982981503794,184,2000,173
7214,7214 - Montadores de estruturas metálicas,139039.55893084,2618.4159795606456,2461.8188723555613,2775.01308676573,41.95842538673123,276,2500,174
5165,5165 - Instrutores de autoescola,43443.42685928,2607.869346077506,2279.003878347198,2936.734813807814,42.80718782342833,92,2500,175
5141,5141 - Cabeleireiros,1139153.72010663,2597.13466603297,2471.03220303841,2723.23712902753,38.343004633477044,2295,2000,176
8142,8142 - Operadores de máquinas para fabricar produtos de material plástico,157162.71738338,2567.3053601023466,2391.3501805826345,2743.260539622059,43.00884592766743,266,2300,177
2355,2355 - Outros professores de artes,38272.98707753,2549.9483848418236,2103.858829766927,2996.03793991672,28.426149604522912,102,1800,178
5321,5321 - Trabalhadores de cuidados pessoais em instituições,85146.20159035,2546.6239095090364,2257.786670896664,2835.4611481214088,42.04369215770421,137,2300,179
8141,8141 - Operadores de máquinas para fabricar produtos de borracha,166542.48052755,2542.700877580001,2232.757212883811,2852.644542276191,45.19034594817462,330,2000,180
7131,7131 - Pintores e empapeladores,649009.37591804,2538.835564682564,2422.1488618760545,2655.5222674890733,39.53579316702146,1381,2000,181
5414,5414 - Guardas de segurança,1332754.77745464,2536.174608874184,2460.9748398294028,2611.374377918965,43.022153496861534,2882,2200,182
7421,7421 - Mecânicos e reparadores em eletrônica,74651.72821449,2532.5030105272826,2092.710004091028,2972.296016963537,38.06918947873986,158,2000,183
6111,"6111 - Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins)",2039652.8498376,2521.1774256742406,2287.4573541215414,2754.89749722694,38.779488466211426,8183,1600,184
4225,4225 - Trabalhadores dos serviços de informações,114406.98780339,2511.746471092145,1820.1490068014593,3203.3439353828308,39.85262783709982,232,1800,185
7125,7125 - Vidraceiros,73852.60494283,2503.21765638883,2289.4314862102456,2717.0038265674148,41.69944477514689,161,2400,186
8181,8181 - Operadores de instalações de vidraria e cerâmica,52740.65517402,2496.390883470727,2265.344514160996,2727.4372527804585,42.50593352915881,129,2400,187
5112,5112 - Fiscais e cobradores de transportes públicos,59780.82142434,2486.037434198901,2115.464264451471,2856.6106039463307,44.61165360365979,108,2200,188
8152,8152 - Operadores de teares e outras máquinas de tecelagem,42543.86298396,2442.818416724039,2093.871658535925,2791.765174912153,38.96791630302578,94,2500,189
8212,8212 - Montadores de equipamentos elétricos e eletrônicos,88475.30417693,2442.3316297136494,2238.1700243519517,2646.493235075347,41.01863341780417,184,2200,190
7322,7322 - Impressores,72959.40354735,2441.667716198564,2140.3519515546977,2742.9834808424303,39.62508654847846,147,2000,191
4322,4322 - Trabalhadores de serviços de apoio à produção,74731.15106345,2432.3720412527578,2136.261480078437,2728.4826024270783,41.97548447280687,125,2100,192
3213,3213 - Técnicos e assistentes farmacêuticos,70458.86675336,2396.558854382092,2197.064828718606,2596.0528800455777,41.092064800930125,128,2000,193
7115,7115 - Carpinteiros,190303.44590633,2392.1036824701764,2182.3558446423262,2601.8515202980266,40.769907919968816,498,2000,194
8172,8172 - Operadores de instalações para processamento de madeira,83660.8266906,2374.431905009427,2187.7670210875367,2561.096788931317,41.12410681611106,240,2100,195
8219,8219 - Montadores não classificados anteriormente,197637.56147787,2367.9541286652093,2185.213928839465,2550.6943284909535,40.46927573017052,343,2100,196
